JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,,
BOM name?Devboard-JLCPCB Assembly Order.xlsx,,,Download Time?2026-02-16 22:46:35,,,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,
PCB Assembled Qty?5,,,Est. Total Price?20.2977,,,,,,,,,,,,,,
Your BOM,,,,,Matched Parts,,,,,,,Order Information,,,,,
Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
"C1,C4",,1uF,C_0402_1005Metric,,Select by Customer,CL05A105KA5NQNC,Samsung Electro-Mechanics,0402,1uF 25V X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C52923,https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923,Basic,10,10 JLCPCB,0.033
C9,,1nF,C_0402_1005Metric,,Select by Customer,0402B102K500NT,FH (Guangdong Fenghua Advanced Tech),0402,1nF 50V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C1523,https://jlcpcb.com/partdetail/1875-0402B102K500NT/C1523,Basic,5,5 JLCPCB,0.006
"C11,C8,C3,C10,C17,C5,C7,C6,C12,C2",,0.1uF,C_0402_1005Metric,,Select by Customer,CL05B104KO5NNNC,Samsung Electro-Mechanics,0402,100nF 16V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,1.The comment (CL05B104KO5NNNC) of this part does not match the one (0.1uF) provided in your BOM. Please confirm;,C1525,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525,Basic,50,50 JLCPCB,0.065
"C14,C13",,10uF,C_0603_1608Metric,,Select by Customer,CL10A106KP8NNNC,Samsung Electro-Mechanics,0603,10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C19702,https://jlcpcb.com/partdetail/20411-CL10A106KP8NNNC/C19702,Basic,10,10 JLCPCB,0.065
"C16,C15",,33pF,C_0402_1005Metric,,Select by Customer,0402CG330J500NT,FH (Guangdong Fenghua Advanced Tech),0402,33pF 50V C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C1562,https://jlcpcb.com/partdetail/1914-0402CG330J500NT/C1562,Basic,10,10 JLCPCB,0.012
"D2,D1",,LED,LED_0805_2012Metric,,Select by Customer,NCD0805R1,Foshan NationStar Optoelectronics,0805,-30?~+85? 1.6V~2.6V 130° 195mcd 25mA 615nm~630nm 630nm 65mW Discrete Diode Red 0805 LED Indication - Discrete ROHS,LED Indication - Discrete,1.The comment (NCD0805R1) of this part does not match the one (LED) provided in your BOM. Please confirm;,C84256,https://jlcpcb.com/partdetail/85425-NCD0805R1/C84256,Basic,10,10 JLCPCB,0.131
"D4,D3",,FMBR120VLSFT1G,SOD-123FL_L2.8-W1.8-LS3.8-RD,,Select by System,FMBR120VLSFT1G,FUXINSEMI,SOD-123FL,-55?~+125? 1A 200uA 20V 380mV@1.0A 45A SOD-123FL Super Barrier Rectifiers (SBR) ROHS,Super Barrier Rectifiers (SBR),,C48677824,https://jlcpcb.com/partdetail/FUXINSEMI-FMBR120VLSFT1G/C48677824,Extended,14,14 JLCPCB,1.0444
J1,,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,,Select by Customer,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,"-30?~+80? 1 10,000 cycles 16P 20V 5A 7.35mm Female Surface Mount, Right Angle Type-C SMD USB Connectors ROHS",USB Connectors,,C165948,https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948,Extended,5,5 JLCPCB,0.9055
"R1,R2",,5.1K,R_0402_1005Metric,,Select by Customer,0402WGF5101TCE,UNI-ROYAL(Uniroyal Elec),0402,-55?~+155? 5.1k? 50V 62.5mW Thick Film Resistor ±1% ±100ppm/? 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C25905,https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905,Basic,10,10 JLCPCB,0.008
"R4,R3",,27,R_0402_1005Metric,,Select by Customer,0402WGF270JTCE,UNI-ROYAL(Uniroyal Elec),0402,-55?~+155? 27? 50V 62.5mW Thick Film Resistor ±1% ±100ppm/? 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF270JTCE) of this part does not match the one (27) provided in your BOM. Please confirm;,C25100,https://jlcpcb.com/partdetail/25843-0402WGF270JTCE/C25100,Extended,22,22 JLCPCB,0.0154
R7,,10K,R_0402_1005Metric,,Select by Customer,0402WGF1002TCE,UNI-ROYAL(Uniroyal Elec),0402,-55?~+155? 10k? 50V 62.5mW Thick Film Resistor ±1% ±100ppm/? 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF1002TCE) of this part does not match the one (10K) provided in your BOM. Please confirm;,C25744,https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744,Basic,5,5 JLCPCB,0.004
"R9,R8,R5,R6",,1K,R_0402_1005Metric,,Select by Customer,0402WGF1001TCE,UNI-ROYAL(Uniroyal Elec),0402,-55?~+155? 1k? 50V 62.5mW Thick Film Resistor ±1% ±100ppm/? 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF1001TCE) of this part does not match the one (1K) provided in your BOM. Please confirm;,C11702,https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702,Basic,20,20 JLCPCB,0.014
R10,,200K,R_0402_1005Metric,,Select by Customer,0402WGF2003TCE,UNI-ROYAL(Uniroyal Elec),0402,-55?~+155? 200k? 50V 62.5mW Thick Film Resistor ±1% ±100ppm/? 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF2003TCE) of this part does not match the one (200K) provided in your BOM. Please confirm;,C25764,https://jlcpcb.com/partdetail/26507-0402WGF2003TCE/C25764,Basic,5,5 JLCPCB,0.0035
R11,,100K,R_0402_1005Metric,,Select by Customer,0402WGF1003TCE,UNI-ROYAL(Uniroyal Elec),0402,-55?~+155? 100k? 50V 62.5mW Thick Film Resistor ±1% ±100ppm/? 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF1003TCE) of this part does not match the one (100K) provided in your BOM. Please confirm;,C25741,https://jlcpcb.com/partdetail/26484-0402WGF1003TCE/C25741,Basic,5,5 JLCPCB,0.004
"SW2,SW1",,SW_Push,SW_Push_SPST_NO_Alps_SKRK,,Select by Customer,TS-1088-AR02016,XUNPU,"SMD,4x3mm","-30?~+80? 1.6N 100,000 Cycles 12V 2mm 3mm 4mm 50mA Black Round Button SMD(SMT) Tab SPST Surface Mount,Vertical Without Bracket SMD,4x3mm Tactile Switches ROHS",Tactile Switches,,C720477,https://jlcpcb.com/partdetail/XUNPU-TS_1088AR02016/C720477,Basic,10,10 JLCPCB,0.476
U1,,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,,Select by Customer,RP2040,Raspberry Pi,LQFN-56(7x7),12bit 133MHz 30 LQFN-56(7x7) Microcontrollers (MCU/MPU/SOC) ROHS,Microcontrollers (MCU/MPU/SOC),,C2040,https://jlcpcb.com/partdetail/RaspberryPi-RP2040/C2040,Extended,5,5 JLCPCB,4.827
U2,,TPSPX3819M5-L-3-3,SOT-23-5_L3.0-W1.6-P0.95-LS2.8-BR,,Select by System,TPSPX3819M5-L-3-3,TECH PUBLIC,SOT-23-5,"-40?~+125?@(Tj) 1 20V 3.3V 420mV@(100mA) 500mA 5uA 70dB@(1kHz) Fixed Over Current Protection?Over Temperature Protection?Enable Positive SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS","Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",,C5370980,https://jlcpcb.com/partdetail/TECHPUBLIC-TPSPX3819M5_L_33/C5370980,Extended,7,7 JLCPCB,0.6839
U3,,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,,Select by Customer,W25Q128JVSIQ,Winbond Elec,SOIC-8-208mil,"-40?~+85? 100,000 Cycles 120ms@(32KB) 128Mbit 133MHz 1uA 2.7V~3.6V 20 Years 3ms SPI SOIC-8-208mil NOR FLASH ROHS",NOR FLASH,1.The comment (W25Q128JVSIQ) of this part does not match the one (W25Q128JVS) provided in your BOM. Please confirm;,C97521,https://jlcpcb.com/partdetail/WinbondElec-W25Q128JVSIQ/C97521,Basic,5,5 JLCPCB,11.637
Y1,,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,,Select by Customer,X322512MSB4SI,YXC Crystal Oscillators,SMD3225-4P,-40?~+85? 12MHz 20pF Crystal Oscillator ±10ppm ±20ppm SMD3225-4P Crystals ROHS,Crystals,,C9002,https://jlcpcb.com/partdetail/YXC_CrystalOscillators-X322512MSB4SI/C9002,Basic,5,5 JLCPCB,0.363
"J3,J2",,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,,No matches,No Part Selected,,,,,,,,,,,
J4,,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,,No matches,No Part Selected,,,,,,,,,,,
